,Acessa internet do microcomputador,Para acessar à Internet utiliza-se tablet,Para acessar à Internet utiliza-se telefone celular,Para acessar à Internet utiliza-se tv,Rendimento mensal domiciliar per capita,Tem Tablet,Tem microcomputador,Tem telefone móvel celular,Tem televisão por assinatura
349,2.0,4.0,2.0,4.0,400.0,4.0,1.0,2.0,3.0
350,2.0,4.0,2.0,4.0,2110.0,4.0,1.0,2.0,3.0
355,2.0,2.0,2.0,4.0,3125.0,2.0,1.0,2.0,1.0
356,2.0,4.0,2.0,4.0,922.0,2.0,1.0,2.0,3.0
357,2.0,4.0,2.0,4.0,1666.0,4.0,1.0,2.0,1.0
392,4.0,4.0,2.0,4.0,2096.0,4.0,3.0,2.0,3.0
396,2.0,4.0,2.0,4.0,5000.0,4.0,1.0,2.0,3.0
401,2.0,4.0,4.0,4.0,2075.0,4.0,1.0,2.0,3.0
403,2.0,4.0,2.0,4.0,1500.0,4.0,1.0,2.0,3.0
406,2.0,2.0,2.0,4.0,1737.0,2.0,1.0,2.0,1.0
409,4.0,4.0,2.0,4.0,966.0,4.0,3.0,2.0,3.0
411,2.0,4.0,4.0,4.0,1250.0,4.0,1.0,2.0,3.0
412,2.0,4.0,2.0,4.0,400.0,4.0,1.0,2.0,3.0
419,4.0,4.0,2.0,4.0,600.0,4.0,3.0,2.0,3.0
421,2.0,4.0,2.0,4.0,4666.0,4.0,1.0,2.0,1.0
422,2.0,4.0,2.0,4.0,1100.0,4.0,1.0,2.0,3.0
427,2.0,4.0,2.0,4.0,2466.0,4.0,1.0,2.0,1.0
440,2.0,2.0,2.0,4.0,575.0,2.0,1.0,2.0,3.0
442,4.0,4.0,2.0,4.0,933.0,4.0,3.0,2.0,3.0
444,2.0,4.0,2.0,4.0,325.0,4.0,1.0,2.0,3.0
445,2.0,4.0,2.0,4.0,1233.0,4.0,1.0,2.0,3.0
446,4.0,4.0,2.0,4.0,1075.0,4.0,3.0,2.0,3.0
453,2.0,4.0,2.0,4.0,999999999999.0,4.0,1.0,2.0,3.0
455,2.0,4.0,4.0,4.0,1144.0,4.0,1.0,2.0,3.0
456,4.0,4.0,2.0,4.0,494.0,4.0,3.0,2.0,3.0
457,4.0,4.0,2.0,4.0,833.0,4.0,3.0,2.0,3.0
458,4.0,4.0,2.0,4.0,1088.0,4.0,3.0,2.0,3.0
461,4.0,4.0,2.0,4.0,455.0,4.0,3.0,2.0,3.0
466,4.0,4.0,2.0,4.0,340.0,4.0,3.0,2.0,3.0
478,2.0,4.0,4.0,4.0,553.0,4.0,1.0,2.0,3.0
480,2.0,4.0,2.0,4.0,327.0,4.0,1.0,2.0,3.0
484,2.0,4.0,2.0,4.0,1194.0,4.0,1.0,2.0,3.0
486,4.0,4.0,2.0,4.0,679.0,4.0,3.0,2.0,3.0
488,4.0,4.0,2.0,4.0,476.0,4.0,3.0,2.0,3.0
489,2.0,4.0,4.0,4.0,2364.0,4.0,1.0,2.0,3.0
491,4.0,4.0,2.0,4.0,966.0,4.0,3.0,2.0,1.0
493,2.0,4.0,4.0,4.0,578.0,4.0,1.0,2.0,3.0
505,4.0,2.0,2.0,4.0,800.0,2.0,3.0,2.0,3.0
525,2.0,4.0,2.0,4.0,394.0,4.0,1.0,2.0,1.0
535,2.0,4.0,2.0,4.0,762.0,4.0,1.0,2.0,3.0
536,2.0,4.0,4.0,4.0,316.0,4.0,1.0,2.0,3.0
538,2.0,4.0,4.0,4.0,1500.0,2.0,1.0,2.0,3.0
540,2.0,4.0,2.0,4.0,535.0,4.0,1.0,2.0,3.0
550,2.0,4.0,2.0,4.0,529.0,4.0,1.0,2.0,3.0
552,2.0,4.0,2.0,4.0,300.0,4.0,1.0,2.0,3.0
561,2.0,2.0,2.0,4.0,600.0,2.0,1.0,2.0,3.0
567,4.0,2.0,2.0,4.0,388.0,2.0,3.0,2.0,3.0
589,2.0,4.0,4.0,4.0,366.0,4.0,1.0,2.0,3.0
592,2.0,4.0,4.0,4.0,999999999999.0,4.0,1.0,2.0,3.0
594,4.0,4.0,2.0,4.0,983.0,4.0,3.0,2.0,3.0
596,2.0,2.0,2.0,4.0,1560.0,2.0,1.0,2.0,3.0
598,2.0,4.0,2.0,4.0,1894.0,4.0,1.0,2.0,3.0
600,2.0,4.0,2.0,4.0,1850.0,4.0,1.0,2.0,1.0
601,2.0,2.0,2.0,4.0,2125.0,2.0,1.0,2.0,1.0
603,2.0,4.0,2.0,4.0,1125.0,4.0,1.0,2.0,3.0
608,4.0,4.0,2.0,4.0,1175.0,4.0,3.0,2.0,3.0
611,4.0,4.0,2.0,4.0,200.0,4.0,3.0,2.0,3.0
612,4.0,4.0,2.0,4.0,916.0,4.0,3.0,2.0,3.0
613,4.0,4.0,2.0,4.0,373.0,4.0,3.0,2.0,3.0
614,4.0,4.0,2.0,4.0,497.0,4.0,3.0,2.0,3.0
617,4.0,4.0,2.0,4.0,504.0,4.0,3.0,2.0,3.0
618,2.0,4.0,2.0,4.0,701.0,4.0,1.0,2.0,3.0
619,2.0,4.0,2.0,4.0,880.0,4.0,1.0,2.0,3.0
620,4.0,4.0,2.0,4.0,166.0,4.0,3.0,2.0,3.0
621,4.0,4.0,2.0,4.0,1500.0,4.0,3.0,2.0,3.0
625,4.0,4.0,2.0,4.0,821.0,4.0,3.0,2.0,3.0
626,4.0,4.0,2.0,4.0,1200.0,2.0,3.0,2.0,1.0
628,4.0,4.0,2.0,4.0,412.0,4.0,3.0,2.0,3.0
629,2.0,4.0,2.0,4.0,1566.0,4.0,1.0,2.0,3.0
631,4.0,4.0,2.0,4.0,311.0,4.0,3.0,2.0,3.0
632,4.0,4.0,2.0,4.0,1500.0,4.0,3.0,2.0,3.0
635,2.0,4.0,2.0,4.0,625.0,4.0,1.0,2.0,3.0
636,4.0,4.0,2.0,4.0,846.0,4.0,3.0,2.0,3.0
637,2.0,4.0,2.0,4.0,500.0,4.0,1.0,2.0,3.0
638,2.0,4.0,2.0,4.0,1433.0,4.0,1.0,2.0,3.0
639,4.0,4.0,2.0,4.0,250.0,2.0,3.0,2.0,3.0
640,4.0,4.0,2.0,4.0,729.0,4.0,3.0,2.0,3.0
642,4.0,4.0,2.0,4.0,1394.0,4.0,3.0,2.0,3.0
643,4.0,4.0,2.0,4.0,1400.0,4.0,3.0,2.0,3.0
646,2.0,4.0,2.0,4.0,1200.0,4.0,1.0,2.0,3.0
647,4.0,4.0,2.0,4.0,950.0,4.0,3.0,2.0,3.0
648,2.0,4.0,2.0,4.0,433.0,4.0,1.0,2.0,3.0
672,2.0,4.0,2.0,4.0,2600.0,4.0,1.0,2.0,3.0
674,2.0,4.0,2.0,4.0,788.0,4.0,1.0,2.0,3.0
675,2.0,4.0,2.0,4.0,388.0,4.0,1.0,2.0,3.0
676,2.0,4.0,2.0,4.0,500.0,4.0,1.0,2.0,3.0
678,2.0,4.0,2.0,4.0,3600.0,2.0,1.0,2.0,1.0
681,2.0,4.0,2.0,4.0,2800.0,4.0,1.0,2.0,3.0
683,2.0,4.0,4.0,4.0,197.0,4.0,1.0,2.0,3.0
685,4.0,4.0,2.0,4.0,1200.0,4.0,3.0,2.0,3.0
686,4.0,4.0,2.0,4.0,497.0,4.0,1.0,2.0,3.0
689,2.0,4.0,4.0,4.0,1150.0,4.0,1.0,2.0,3.0
690,4.0,4.0,2.0,4.0,525.0,4.0,3.0,2.0,3.0
691,2.0,4.0,4.0,4.0,1650.0,4.0,1.0,2.0,3.0
693,2.0,4.0,2.0,4.0,1550.0,4.0,1.0,2.0,3.0
694,2.0,4.0,2.0,4.0,1400.0,4.0,1.0,2.0,3.0
696,2.0,4.0,2.0,4.0,210.0,4.0,1.0,2.0,3.0
701,2.0,2.0,2.0,2.0,500.0,2.0,1.0,2.0,3.0
703,2.0,4.0,2.0,4.0,1375.0,4.0,1.0,2.0,1.0
705,2.0,4.0,2.0,4.0,1175.0,4.0,1.0,2.0,3.0
709,2.0,4.0,2.0,4.0,1300.0,4.0,1.0,2.0,1.0
710,2.0,2.0,2.0,4.0,1000.0,2.0,1.0,2.0,1.0
711,2.0,4.0,2.0,4.0,7800.0,4.0,1.0,2.0,3.0
715,4.0,2.0,4.0,4.0,860.0,2.0,1.0,2.0,3.0
717,2.0,4.0,4.0,4.0,1100.0,4.0,1.0,2.0,1.0
718,4.0,4.0,2.0,4.0,3333.0,4.0,3.0,2.0,3.0
720,2.0,4.0,2.0,2.0,0.0,4.0,1.0,2.0,3.0
721,2.0,4.0,4.0,4.0,600.0,4.0,1.0,2.0,3.0
722,2.0,4.0,2.0,4.0,975.0,4.0,1.0,2.0,1.0
724,2.0,4.0,2.0,4.0,4650.0,4.0,1.0,2.0,1.0
726,2.0,4.0,2.0,4.0,7980.0,2.0,1.0,2.0,1.0
730,2.0,4.0,2.0,4.0,400.0,4.0,1.0,2.0,3.0
733,2.0,4.0,2.0,4.0,1300.0,4.0,1.0,2.0,3.0
